Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190125_7_27,500,27,1.974,12.453,0.012,2.731,3.755,0.116,0.221,0.684,0.267,0.608,0.936,2.075,-0.138,0.053
190125_7_28,500,28,1.713,7.479,0.005,0.731,3.611,0.073,0.18,0.564,0.258,0.564,0.801,1.725,-0.138,0.098
190125_7_29,500,29,1.466,4.35,0.001,0.778,3.577,0.08,0.208,0.915,0.258,0.574,0.783,1.538,-0.113,0.037
190125_7_30,500,30,1.342,2.761,-0.001,0.357,3.569,0.056,0.345,0.74,0.268,0.56,0.758,1.375,-0.138,0.067
190125_7_31,500,31,1.189,2.863,-0.003,0.251,3.469,0.147,0.235,0.793,0.253,0.567,0.705,1.194,-0.146,1.075
190125_7_32,500,32,1.096,2.812,-0.004,1.611,3.484,0.095,0.18,0.911,0.273,0.584,0.674,1.124,-0.143,0.092
190125_7_33,500,33,1.054,1.068,-0.005,5.453,3.475,0.04,0.208,1.134,0.274,0.561,0.701,1.072,-0.156,0.175
190125_7_34,500,34,0.962,2.761,-0.008,6.859,3.453,0.017,0.132,1.094,0.274,0.582,0.653,1.037,-0.148,0.024
190125_7_35,500,35,0.891,1.889,-0.007,0.116,3.423,0.013,0.256,0.28,0.277,0.56,0.611,0.862,-0.145,0.016
190125_7_36,500,36,1.042,1.12,-0.008,0.925,3.392,0.022,0.126,0.158,0.272,0.571,0.582,1.136,-0.141,1.695
190125_7_37,500,37,0.773,1.838,-0.01,-0.149,3.382,0.018,0.447,0.266,0.289,0.577,0.58,0.815,-0.151,0.021
190125_7_38,500,38,1.348,3.222,-0.008,2.969,3.312,0.09,0.687,0.381,0.279,0.576,0.589,1.404,-0.145,0.096
190125_8_7,600,7,0.622,2.556,-0.01,0.904,3.603,-0.022,0.215,0.339,0.299,0.615,0.592,0.623,-0.143,0.029
190125_8_8,600,8,0.618,3.274,-0.011,1.53,3.665,-0.022,0.345,0.26,0.312,0.611,0.605,0.582,-0.145,0.025
190125_8_9,600,9,0.594,4.658,-0.01,-0.282,3.707,-0.021,0.221,0.276,0.312,0.608,0.598,0.594,-0.151,0.042
190125_8_10,600,10,0.645,4.863,-0.01,0.576,3.713,0.004,0.352,0.424,0.321,0.628,0.611,0.652,-0.138,0.038
190125_8_11,600,11,0.86,6.043,-0.007,1.701,3.696,0.015,0.4,0.522,0.324,0.619,0.72,0.856,-0.145,0.041
190125_8_12,600,12,1.994,21.274,-0.006,1.688,3.81,0.109,0.53,0.393,0.327,0.651,0.831,1.982,-0.141,0.06
190125_8_13,600,13,6.85,17.786,-0.001,13.713,3.857,0.1,0.4,0.463,0.346,0.63,1.177,6.938,-0.148,0.088
190125_8_14,600,14,57.843,10.915,0.009,3.211,3.886,0.094,0.55,0.967,0.333,1.216,1.429,58.121,-0.148,0.044
190125_8_15,600,15,2.285,9.12,0.002,1.114,3.788,0.07,0.283,0.233,0.336,0.629,0.72,2.238,-0.14,0.032
190125_8_16,600,16,1.973,6.248,0.002,1.343,3.749,0.076,0.4,0.572,0.322,0.621,0.694,1.952,-0.141,3.173
190125_8_17,600,17,1.852,6.966,0.003,1.879,3.761,0.206,0.372,0.251,0.322,0.633,0.696,1.818,-0.145,0.122
190125_8_18,600,18,4.545,12.812,0.015,3.122,3.759,0.212,0.365,1.123,0.327,0.64,0.863,4.547,-0.141,0.036
190125_8_19,600,19,8.335,13.889,0.014,1.886,3.791,0.29,0.441,0.433,0.327,0.633,0.812,8.326,-0.132,16.645
190125_8_20,600,20,5.637,11.068,0.027,4.338,3.704,0.284,3.386,1.399,0.337,0.642,0.751,5.614,-0.141,0.032
190125_8_21,600,21,3.434,10.043,0.038,6.282,3.673,0.174,0.297,0.371,0.324,0.629,0.668,3.34,-0.141,0.233
190125_8_22,600,22,2.252,8.453,0.041,3.168,3.73,0.129,0.297,0.405,0.312,0.587,0.647,2.296,-0.135,0.081
190125_8_23,600,23,1.721,8.197,0.037,1.851,3.595,0.09,0.276,0.831,0.338,0.603,0.632,1.702,-0.14,0.25
190125_8_24,600,24,1.448,9.068,0.022,3.46,2.751,0.079,1.043,0.578,0.298,0.577,0.609,1.439,-0.141,0.125
190125_8_25,600,25,1.345,9.991,0.025,0.84,3.406,0.099,0.845,0.66,0.194,0.603,0.865,1.387,-0.145,0.356
190125_8_26,600,26,1.532,13.632,0.015,4.617,4.149,0.119,1.564,1.339,0.348,0.636,1.011,1.655,-0.146,0.091
190125_8_27,600,27,0.966,5.427,0.003,1.035,3.675,0.008,0.256,0.254,0.321,0.576,0.726,1.031,-0.149,0.073
190125_8_28,600,28,1.123,5.068,-0.002,0.921,3.564,0.007,1.653,0.771,0.291,0.537,0.686,1.136,-0.135,0.136
190125_8_29,600,29,1.198,3.376,-0.005,4.154,3.439,0.089,0.338,0.462,0.294,0.541,0.635,1.2,-0.119,0.029
190125_8_30,600,30,0.737,2.145,-0.006,0.585,3.46,-0.011,0.242,0.904,0.297,0.545,0.603,0.763,-0.133,0.32
190125_8_31,600,31,0.699,3.068,-0.008,0.49,3.458,0.005,0.208,0.294,0.282,0.561,0.565,0.716,-0.138,0.65
190125_8_32,600,32,0.939,2.863,-0.008,0.128,3.457,-0.013,0.324,0.76,0.295,0.561,0.568,0.967,-0.132,0.031
190125_8_33,600,33,0.673,2.402,-0.008,2.229,3.429,-0.022,0.297,0.545,0.309,0.57,0.56,0.734,-0.148,0.024
190125_8_34,600,34,0.683,3.068,-0.01,1.806,3.444,-0.021,0.311,1.248,0.307,0.566,0.563,0.745,-0.148,0.072
190125_8_35,600,35,0.626,2.863,-0.009,0.982,3.526,0.116,0.324,1.077,0.305,0.569,0.555,0.664,-0.135,0.028
190125_8_36,600,36,0.699,1.838,-0.01,4.386,3.501,-0.011,0.304,1.065,0.305,0.585,0.537,0.78,-0.141,0.043
190125_8_37,600,37,0.671,2.761,-0.011,5.503,3.473,0,0.393,1.68,0.292,0.581,0.572,0.81,-0.14,0.098
190125_8_38,600,38,0,2.248,0.023,19.331,3.729,0.438,3.557,3.392,0.318,0.879,1.492,167.906,-0.146,2.012
