Sample_ID,AE Fraction,SE Fraction,75As,27Al,47Ti,48Ti,51V,52Cr,55Mn,56Fe,57Fe,59Co,60Ni,63Cu,66Zn,95Mo,111Cd,208Pb
210929_IC_SEC_150to200_15,200,15,0.0,3.3,0.3,1.3,0.3,0.3,0.8,2.3,1.9,0.1,3.1,0.3,2.4,0.4,0.0,0.0
210929_IC_SEC_150to200_16,200,16,0.0,2.9,0.4,1.5,0.3,0.6,0.8,2.9,2.4,0.1,4.4,0.3,1.8,0.6,0.0,0.0
210929_IC_SEC_150to200_17,200,17,0.0,2.0,0.4,0.9,0.3,0.6,0.7,2.8,2.3,0.1,3.2,0.2,0.7,1.4,0.0,0.0
210929_IC_SEC_150to200_18,200,18,0.0,2.4,0.3,0.7,0.2,0.4,0.7,1.9,1.7,0.0,2.8,0.2,0.6,0.9,0.0,0.0
210929_IC_SEC_150to200_19,200,19,0.0,2.6,0.2,0.8,0.2,0.3,0.7,2.0,1.6,0.0,2.7,0.2,4.1,0.5,0.0,0.0
210929_IC_SEC_150to200_20,200,20,0.0,2.7,0.2,0.7,0.3,0.3,0.7,4.7,4.4,0.0,2.7,0.2,0.6,0.4,0.0,0.0
210929_IC_SEC_150to200_21,200,21,0.0,2.6,0.2,0.7,0.2,0.3,0.7,1.9,1.5,0.0,2.7,0.2,0.6,0.4,0.0,0.0
210929_IC_SEC_150to200_22,200,22,0.0,3.0,0.2,0.8,0.3,0.3,0.6,1.9,1.5,0.0,2.6,0.2,0.6,0.6,0.0,0.0
210929_IC_SEC_150to200_23,200,23,0.0,11.9,0.3,0.9,0.4,0.4,0.3,1.8,1.4,0.0,2.4,0.2,0.6,0.4,0.0,0.0
210929_IC_SEC_150to200_24,200,24,0.0,3.0,0.3,1.1,0.5,0.3,0.3,1.9,1.6,0.0,2.2,0.3,0.7,0.3,0.0,0.0
210929_IC_SEC_150to200_25,200,25,0.0,3.4,0.2,1.2,0.4,0.3,0.7,2.2,1.7,0.0,2.7,0.3,1.3,1.3,0.0,0.0
210929_IC_SEC_150to200_26,200,26,0.0,3.3,0.2,1.6,0.3,0.3,1.4,2.0,1.5,0.0,2.8,0.2,20.5,0.4,0.0,0.0
210929_IC_SEC_150to200_27,200,27,0.0,4.6,0.2,1.5,0.3,0.4,1.5,2.6,2.2,0.0,2.8,0.2,0.8,0.4,0.0,0.0
210929_IC_SEC_150to200_28,200,28,0.0,5.6,0.2,1.5,0.3,0.3,1.2,2.3,2.0,0.0,2.7,0.3,1.2,0.3,0.0,0.0
210929_IC_SEC_150to200_29,200,29,0.0,3.1,0.3,1.3,0.3,0.3,1.2,2.0,1.7,0.0,2.7,0.2,0.7,0.4,0.0,0.0
210929_IC_SEC_150to200_30,200,30,0.0,2.9,0.2,0.9,0.3,0.3,1.0,2.2,1.7,0.0,2.6,0.2,2.1,0.7,0.0,0.0
210929_IC_SEC_150to200_31,200,31,0.0,3.0,0.3,0.9,0.3,0.3,0.9,1.9,1.5,0.0,2.6,0.2,113.7,1.0,0.0,0.0
210929_IC_SEC_150to200_32,200,32,0.0,2.9,0.3,0.8,0.3,0.3,0.9,1.9,1.5,0.0,2.6,0.2,0.6,1.0,0.0,0.0
210929_IC_SEC_200to250_1,250,1,0.0,2.3,0.2,0.6,0.2,0.2,0.5,1.4,1.2,0.0,1.8,0.1,0.7,0.4,0.0,0.0
210929_IC_SEC_200to250_2,250,2,0.0,2.3,0.1,0.5,0.2,0.2,0.5,1.3,1.1,0.0,1.7,0.1,0.4,0.3,0.0,0.0
