Sample_ID,AE Fraction,SE Fraction,Fe 56,P 31,Co 59,Zn 66,Ni 60,Cu 63,Al 27,Ti 48,V 51,Cr 52,Mn 55,Fe 57,As 75,Mo 95
190121_8_7,600,7,-0.5171,-6.0773,0.0004,0.232,0.1205,0.017,-0.4014,-1.1753,-0.4089,-0.0565,0.0256,0.0002,-0.0108,0.0134
190121_8_8,600,8,-0.6676,-5.9957,-0.0011,-0.1468,0.046,0.0037,-0.4824,-1.313,-0.4203,-0.1238,0.02,-0.0021,-0.0109,0.0117
190121_8_9,600,9,-0.6964,-5.9824,0.0012,4.2586,0.0086,0.0044,-0.5118,-1.2373,-0.4338,-0.1772,0.0303,-0.0021,-0.0114,0.007
190121_8_10,600,10,-0.7469,-6.1389,-0.0023,-0.1912,0.0037,-0.0001,-0.475,-1.2916,-0.4352,-0.1908,0.0175,-0.0031,-0.0111,0.0094
190121_8_11,600,11,-0.7136,-6.0456,-0.0021,-0.1804,0.0257,0.0093,-0.4775,-1.3382,-0.4419,-0.1723,0.0205,-0.0026,-0.0113,0.0086
190121_8_12,600,12,-0.5083,-5.7526,-0.0013,-0.0629,0.0967,0.0173,-0.4529,-1.2873,-0.4365,-0.1769,0.0242,0.0006,-0.011,0.0457
190121_8_13,600,13,-0.4916,-5.8358,0.0017,0.2547,0.0724,0.0095,-0.4726,-1.2458,-0.4341,-0.1862,0.0406,0.0012,-0.011,0.0096
190121_8_14,600,14,-0.3767,-6.2787,0.0012,0.1109,0.0991,0.0105,-0.5192,-1.2864,-0.4501,-0.1824,0.029,0.0024,-0.0113,0.0074
190121_8_15,600,15,-0.3584,-6.1156,0.0025,1.8671,0.0879,0.0257,-0.4407,-0.4536,-0.4535,-0.186,0.0325,0.003,-0.0113,0.0086
190121_8_16,600,16,-0.4979,-6.1805,0.0029,1.0861,0.055,0.0462,-0.4799,-0.9064,-0.4555,-0.1935,0.0251,0.0021,-0.0111,0.0149
190121_8_17,600,17,1.3328,-6.1339,0.0027,1.2491,0.0382,0.0569,-0.3622,0.1116,-0.4445,-0.2166,0.0403,0.0294,-0.0109,0.0081
190121_8_18,600,18,11.6221,-6.1222,0.0038,0.2158,0.1125,0.0611,-0.4775,-1.3378,-0.4405,-0.1932,0.0223,0.1887,-0.0095,0.0078
190121_8_19,600,19,6.2474,-6.1022,0.0055,0.6473,0.0273,0.0452,-0.4946,-1.3083,-0.4323,-0.2081,0.0215,0.1046,-0.0108,0.009
190121_8_20,600,20,2.6333,-6.4652,0.0131,1.2791,0.0804,0.0381,-0.5241,-1.3416,-0.4468,-0.2021,0.0216,0.0482,-0.0103,0.0105
190121_8_21,600,21,0.8864,-6.0323,0.015,0.6947,0.0206,0.0286,-0.529,-1.292,-0.4601,-0.2274,0.021,0.0218,-0.0111,0.008
190121_8_22,600,22,0.1849,-6.352,0.0129,0.3003,0.0569,0.0199,-0.4922,-1.3557,-0.4485,-0.2205,0.0194,0.0105,-0.0111,0.0103
190121_8_23,600,23,-0.1211,-6.1688,0.0082,-0.0054,0.082,0.0063,-0.5265,-1.3822,-0.4626,-0.1997,0.0193,0.0063,-0.0107,0.0138
190121_8_24,600,24,1.2596,-6.4053,0.0057,0.6054,0.0901,0.0392,0.0769,-1.3258,-0.4392,0.3405,0.0208,0.0282,-0.011,0.015
190121_8_25,600,25,-0.4492,-6.5251,0.0038,-0.0539,0.1261,-0.0002,-0.5363,-1.3728,-0.4804,-0.2443,0.029,0.0017,-0.0109,0.0138
190121_8_26,600,26,-0.3543,-6.8132,0.0019,-0.0863,0.1985,0.0017,-0.5314,-1.3121,-0.4873,-0.2343,0.0351,0.0034,-0.0108,0.0193
190121_8_27,600,27,-0.5284,-6.8581,0.0005,-0.0078,0.0639,0.0032,-0.5437,-1.1385,-0.4815,-0.2404,0.0274,0.001,-0.0113,0.0118
190121_8_28,600,28,-0.6203,-6.9264,-0.0002,0.2032,0.004,-0.0008,-0.5069,-0.7311,-0.5071,-0.2589,0.0277,-0.0004,-0.0098,0.0121
190121_8_29,600,29,-0.6964,-6.7899,-0.0011,0.1283,-0.0494,-0.0011,-0.4701,-0.5926,-0.4944,-0.2331,0.0262,-0.0018,-0.0101,0.0151
190121_8_30,600,30,-0.6622,-6.8931,-0.0019,-0.2368,-0.0697,-0.0042,-0.4799,-1.4079,-0.4728,-0.2422,0.0189,-0.0015,-0.0108,0.0093
190121_8_31,600,31,-0.7327,-6.7466,-0.0016,-0.1768,-0.0438,0.119,-0.5511,-1.3399,-0.4804,-0.2264,0.019,-0.0028,-0.0111,0.0081
190121_8_32,600,32,-0.7099,-6.8232,-0.0015,0.0611,-0.0807,-0.006,-0.4946,-1.31,-0.4819,-0.2478,0.021,-0.0028,-0.0111,0.0077
190121_8_33,600,33,-0.7842,-6.5751,-0.0034,-0.2547,-0.0933,-0.007,-0.5584,-1.3369,-0.4906,-0.2734,0.0163,-0.0033,-0.0114,0.0065
190121_8_34,600,34,-0.7638,-6.7616,0.0011,-0.2296,-0.0804,-0.0057,-0.5535,-1.3523,-0.4884,-0.2596,0.0181,-0.0032,-0.0108,0.0082
190121_8_35,600,35,-0.8104,-6.6434,-0.0027,-0.199,-0.0898,0.0353,-0.5167,-1.3536,-0.4853,-0.2534,0.0184,-0.0041,-0.0113,0.0074
190121_8_36,600,36,-0.7998,-6.8398,-0.0021,-0.1301,-0.085,-0.0041,-0.5339,-1.3395,-0.4993,-0.2484,0.0168,-0.0038,-0.0113,0.0074
190121_8_37,600,37,-0.8059,-6.9181,-0.0028,0.006,-0.0687,-0.0048,-0.4897,-1.3189,-0.4924,-0.2372,0.0201,-0.0036,-0.0113,0.0083
190121_8_38,600,38,-0.8315,-6.6667,-0.0031,-0.1319,-0.093,-0.0064,-0.529,-1.3138,-0.4852,-0.2444,0.0188,-0.0043,-0.0114,0.0059
190121_9_7,800,7,2.087,-4.0226,0.0331,6.4912,1.5565,0.3297,0.3859,-1.4652,-0.3066,0.5517,0.0645,0.0371,-0.0111,0.0186
190121_9_8,800,8,0.9397,-5.7043,0.0284,1.3522,1.1835,0.2172,-0.0335,-1.4617,-0.2925,0.5448,0.0533,0.0223,-0.011,0.0211
190121_9_9,800,9,0.7796,-5.646,0.0267,0.6737,1.083,0.2057,-0.0728,-1.49,-0.2718,0.5494,0.0499,0.0171,-0.0108,0.0226
190121_9_10,800,10,0.7365,-5.4412,0.0269,0.7456,1.0699,0.2153,-0.0164,-1.475,-0.2445,0.5934,0.0486,0.0168,-0.0104,0.023
190121_9_11,800,11,1.1143,3.4399,0.0274,0.7103,1.2516,0.265,0.1627,-1.4344,-0.1831,0.6373,0.0568,0.0175,-0.0106,0.0274
190121_9_12,800,12,1.0927,87.7556,0.0302,0.9464,1.6279,0.3097,0.3418,-1.4814,-0.143,0.7329,0.0676,0.0197,-0.0092,0.0255
190121_9_13,800,13,1.0323,61.0073,0.0294,0.6353,1.4863,0.2745,0.2608,-1.463,-0.0705,0.7318,0.0691,0.0177,-0.0099,0.0296
190121_9_14,800,14,1.0435,29.7885,0.0305,0.4687,1.4496,0.2661,0.2706,-1.4271,-0.0277,0.7974,0.0642,0.0175,-0.01,0.0326
190121_9_15,800,15,0.6056,33.4699,0.0215,0.2559,0.8337,0.1714,0.0303,-1.4964,-0.2665,0.3642,0.0428,0.0095,-0.0101,0.0346
190121_9_16,800,16,1.0188,142.3144,0.0343,0.4639,1.8278,0.2581,0.4767,-1.3728,0.0493,0.8723,0.0856,0.0137,-0.009,0.0902
190121_9_17,800,17,2.3751,65.9973,0.0317,0.3321,1.4873,0.2138,0.4448,-1.3865,0.1452,0.9251,0.0691,0.0326,-0.0084,0.0648
